instances,SUNNY
bool/routing/s4-4-3-7.xml,18.384
bool/ii/ii-8d1.xml,8.266
bool/ii/ii-8a2.xml,3.539
bool/ii/ii-32e3.xml,287.708
bool/ii/ii-8e2.xml,19.534999999999997
bool/ii/ii-16b1.xml,295.174
bool/ii/ii-32d1.xml,34.188
bool/mps/mps-mzzv11.xml,1314.6856328125
bool/mps/mps-stein45.xml,2.164
bool/mps/mps-bm23.xml,185.19400000000002
bool/mps/mps-seymour.xml,334.461
bool/mps/mps-stein27.xml,1.4209999999999998
bool/logic-synthesis/5xp1-b.xml,598.6690000000001
bool/logic-synthesis/clip-b.xml,269.651
bool/logic-synthesis/max1024-pi.xml,17.148
bool/uclid/ooo-burch-dill-2-accl.xml,620.972
bool/uclid/dlx1c-rwmem-ucl.xml,879.7479999999999
bool/uclid/blast-floppy1-2.xml,178.124
bool/par/par-32-2.xml,52.489999999999995
bool/par/par-8-1-c.xml,1.614
bool/fpga/fpga-11-9.xml,3.757
bool/fpga/fpga-35-34.xml,333.019
bool/fpga/fpga-30-28.xml,177.148
bool/fpga/fpga-14-14.xml,6.827000000000001
bool/mpsReduced/mps-red-sc50a.xml,163.00300000000001
bool/mpsReduced/mps-red-markshare2-1.xml,87.955
bool/mpsReduced/mps-red-enigma.xml,1220.7602890625
bool/mpsReduced/mps-red-agg.xml,1330.3188125000001
bool/mpsReduced/mps-red-sc205.xml,935.924
bool/mpsReduced/mps-red-beaconfd.xml,1451.6045
bool/mpsReduced/mps-red-stocfor1.xml,3088.710677165355
bool/mpsReduced/mps-red-bal8x12.xml,598.307
bool/mpsReduced/mps-red-noswot.xml,202.827
bool/mpsReduced/mps-red-share2b.xml,1268.9352421875
bool/mpsReduced/mps-red-railway-8-1-0.xml,1331.3512421875
bool/mpsReduced/mps-red-bell3b.xml,1229.4472109375001
bool/mpsReduced/mps-red-usAbbrv-8-25-70.xml,1341.7139375
bool/circuits/b1.xml,1.073
bool/ppp/ppp-3-13-25-26.xml,341.79
bool/ppp/ppp-1-13.xml,322.11199999999997
bool/jnh/jnh-17.xml,15.879
bool/jnh/jnh-217.xml,15.003
bool/jnh/jnh-1.xml,20.147
bool/jnh/jnh-218.xml,14.142000000000001
bool/pseudoGLB/normalized-t2001-13queen13-1111226241.xml,271.512
bool/pseudoGLB/normalized-t3002-11tsp11-1900552311.xml,206.636
bool/pseudoGLB/normalized-pigeon-cardinality-31-30.xml,14.011999999999999
bool/pseudoGLB/normalized-t3002-11tsp11-1900566157.xml,228.84900000000002
bool/pseudoGLB/normalized-fpga35-34-sat-pb-cnf-cr.xml,343.19
bool/pseudoGLB/normalized-t2001-13queen13-1110968561.xml,279.233
bool/pseudoGLB/normalized-t2001-13queen13-1110966688.xml,270.89599999999996
bool/pseudoGLB/normalized-fpga13-11-sat-pb-cnf-cr.xml,4.774
bool/pseudoGLB/normalized-43s-smv.xml,29.363
bool/pseudoGLB/normalized-t2001-13queen13-1111218024.xml,277.262
bool/pseudoGLB/normalized-t2001-13queen13-1110976735.xml,263.559
bool/pseudoGLB/normalized-reduced-cuww3.xml,15.493
bool/pseudoGLB/normalized-t2001-13queen13-1111222539.xml,263.436
bool/pseudoGLB/normalized-army9-12bt.xml,56.044000000000004
bool/pseudoGLB/normalized-reduced-prob4.xml,16.053
bool/pseudoGLB/normalized-pigeon-cardinality-61-60.xml,3132.430939252337
bool/pseudoGLB/normalized-t3002-11tsp11-1900564822.xml,212.785
bool/pseudoGLB/normalized-pigeon-clauses-95-90.xml,244.398
bool/pseudoGLB/normalized-t2001-13queen13-1110968094.xml,261.53599999999994
bool/pseudoGLB/normalized-ooo-burch-dill-2-accl-ucl.xml,991.3820000000001
bool/pseudoGLB/normalized-vdw-k6-l3-n170.xml,293.672
bool/pseudoGLB/normalized-t3002-11tsp11-1900579996.xml,921.7420000000001
bool/pseudoGLB/normalized-fpga20-20-sat-pb-cnf-cr.xml,24.447000000000003
bool/pseudoGLB/normalized-t2001-13queen13-1111222080.xml,274.553
bool/pseudoGLB/normalized-t3002-11tsp11-1900576151.xml,2093.788
bool/pseudoGLB/normalized-t3002-11tsp11-1900547427.xml,221.026
bool/pseudoGLB/normalized-pigeon-clauses-41-40.xml,2946.3374
bool/pseudoGLB/normalized-t3002-11tsp11-1900554373.xml,234.096
bool/pseudoGLB/normalized-dlx1c-rwmem-ucl.xml,1137.028
bool/pseudoGLB/normalized-t2001-13queen13-1111213868.xml,258.13300000000004
bool/pseudoGLB/normalized-blast-floppy1-6-ucl.xml,17.032
bool/pseudoGLB/normalized-elf-rf9-ucl.xml,76.432
bool/pseudoGLB/normalized-army12-21bt.xml,2905.875224489796
bool/pseudoGLB/normalized-fpga14-12-sat-pb-cnf-cr.xml,6.065
bool/pseudoGLB/normalized-fpga10-9-sat-pb-cnf-cr.xml,3.55
bool/pseudoGLB/normalized-t2001-13queen13-1111218955.xml,261.986
bool/niklas/air04.xml,223.15
bool/primesDimacs/hanoi4.xml,10.786999999999999
bool/course/ss97-6.xml,5.7219999999999995
bool/aim/aim-200-2-0-1.xml,3.421
